p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	8.333333e-01	1.655696e+00	-1.830936e+00	8.264463e-03	5.666951e-01	6.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	1	5.303030e-01	3.311393e-01	1.381099e+00	nan	-4.403575e-01	2.000000e+00	4.861111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	2.848485e+00	2.980253e+00	-1.794666e-01	1.063325e-01	6.396307e-01	9.000000e+00	8.611111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	12	2.409091e+00	3.973671e+00	-1.654051e+00	3.294666e-01	-1.002036e+00	5.000000e+00	5.277778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	3.045455e+00	2.980253e+00	8.880268e-02	2.281129e-01	-1.308336e-01	7.000000e+00	7.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.636364e+00	1.655696e+00	-4.304307e-02	1.362361e-01	0.000000e+00	7.000000e+00	7.638889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.303030e+00	1.324557e+00	-5.715914e-02	2.872727e-01	3.714703e-01	4.000000e+00	5.972222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	2.818182e+00	3.311393e+00	-6.127617e-01	2.001592e-01	8.820277e-01	6.000000e+00	8.055556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	5.757576e-01	6.622786e-01	-3.817508e-01	3.030303e-02	5.845271e-01	3.000000e+00	4.861111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	3.818182e+00	2.980253e+00	1.141243e+00	4.298670e-01	-3.488895e-01	6.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	3.045455e+00	2.649114e+00	5.974486e-01	1.588039e-01	2.391779e-01	9.000000e+00	8.611111e-01	
